0.005,382.8
0.01,260.1
0.015,252.9
0.02,257.2
0.025,252.2
0.03,274.3
0.035,273.2
0.04,269.9
0.045,262.1
0.05,262.6
0.055,306.0
0.06,309.3
0.065,309.9
0.07,315.4
0.075,310.0
0.08,315.6
0.085,315.3
0.09,310.4
0.095,314.9
0.1,309.0
0.105,306.5
0.11,314.2
0.115,320.0
0.12,314.8
0.125,311.5
0.13,424.6
0.135,431.1
0.14,433.3
0.145,434.2
0.15,428.5
0.155,426.9
0.16,432.3
0.165,434.8
0.17,432.3
0.175,432.8
0.18,438.2
0.185,439.6
0.19,442.7
0.195,431.6
0.2,425.7
0.205,427.4
0.21,428.3
0.215,425.5
0.22,436.5
0.225,430.8
0.23,435.6
0.235,438.6
0.24,433.0
0.245,432.5
0.25,428.8
0.255,514.1
0.26,506.7
0.265,507.3
0.27,505.5
0.275,501.7
0.28,534.6
0.285,534.2
0.29,526.3
0.295,529.3
0.3,522.1
0.305,624.4
0.31,631.7
0.315,624.6
0.32,673.3
0.325,709.5
0.33,704.9
0.335,650.0
0.34,640.3
0.345,640.5
0.35,637.0
0.355,621.8
0.36,641.5
0.365,633.7
0.37,628.5
0.375,624.6
0.38,866.7
0.385,854.6
0.39,872.6
0.395,885.5
0.4,856.1
0.405,860.2
0.41,879.7
0.415,904.8
0.42,869.9
0.425,881.3
0.43,875.0
0.435,865.5
0.44,851.1
0.445,852.8
0.45,873.6
0.455,871.3
0.46,866.9
0.465,869.3
0.47,863.3
0.475,856.2
0.48,856.8
0.485,860.6
0.49,856.0
0.495,854.7
0.5,858.7
0.505,973.9
0.51,973.0
0.515,980.7
0.52,986.9
0.525,976.7
0.53,1032.2
0.535,1031.1
0.54,1041.8
0.545,1037.8
0.55,1044.6
0.555,1253.1
0.56,1257.1
0.565,1260.2
0.57,1267.3
0.575,1252.8
0.58,1250.9
0.585,1253.8
0.59,1256.5
0.595,1257.7
0.6,1253.8
0.605,1259.0
0.61,1266.7
0.615,1252.9
0.62,1265.8
0.625,1253.4
0.63,1759.0
0.635,1762.9
0.64,1754.6
0.645,1763.9
0.65,1748.7
0.655,1746.2
0.66,1815.9
0.665,1745.6
0.67,1745.9
0.675,1776.4
0.68,1751.8
0.685,1765.9
0.69,1771.3
0.695,1762.4
0.7,1785.9
0.705,1760.4
0.71,1773.6
0.715,1796.9
0.72,1767.9
0.725,1776.3
0.73,1765.6
0.735,1767.7
0.74,1748.5
0.745,1766.7
0.75,1776.9
0.755,1888.9
0.76,1892.4
0.765,1911.5
0.77,1895.8
0.775,1904.1
0.78,2027.7
0.785,2028.1
0.79,2023.2
0.795,2032.2
0.8,2029.5
0.805,2522.4
0.81,2501.3
0.815,2491.0
0.82,2504.8
0.825,2492.7
0.83,2502.6
0.835,2510.2
0.84,2525.4
0.845,2550.5
0.85,2532.0
0.855,2582.4
0.86,2530.0
0.865,2502.1
0.87,2502.8
0.875,2516.5
0.88,3601.2
0.885,3576.1
0.89,3630.5
0.895,3673.2
0.9,3662.5
0.905,3686.3
0.91,3670.5
0.915,3661.7
0.92,3619.7
0.925,3644.2
0.93,3644.9
0.935,3639.9
0.94,3692.0
0.945,3666.1
0.95,3635.1
0.955,3604.1
0.96,3669.3
0.965,3670.7
0.97,3661.9
0.975,3656.1
0.98,3677.9
0.985,3659.1
0.99,3704.1
0.995,3670.0
1.0,3625.7
